AGS,Name,bevoelkerung_gesamt,bevoelkerung_unter15,bevoelkerung_15_64,bevoelkerung_65plus,medianalter,tode_2024,arbeitslosenquote_pct,bruttolohn_je_arbeitnehmer_eur,todesrate_je_1000ew
05914,Hagen,190640.0,28676.0,121115.0,40849.0,44.3,2608.0,12.0,42957.0,13.680234997901804
05915,Hamm,179380.0,25990.0,114596.0,38794.0,44.5,2348.0,8.6,40685.0,13.089530605418664
05916,Herne,156154.0,22467.0,99449.0,34238.0,45.1,2324.0,11.6,40986.0,14.882743957887726
05954,Ennepe-Ruhr-Kreis,315069.0,41830.0,195558.0,77681.0,48.8,4427.0,7.1,42415.0,14.050890439871901
05958,Hochsauerlandkreis,261193.0,35081.0,164973.0,61139.0,48.0,3322.0,4.8,40347.0,12.718564433196908
05962,MÃ¤rkischer Kreis,408899.0,57216.0,257509.0,94174.0,47.5,5434.0,7.7,43576.0,13.289345290646345
05966,Olpe,132426.0,18696.0,85352.0,28378.0,46.4,1581.0,4.4,42426.0,11.938743147116124
05970,Siegen-Wittgenstein,274379.0,38635.0,173975.0,61769.0,45.5,3488.0,5.9,44195.0,12.712343145794687
05974,Soest,300347.0,41800.0,190326.0,68221.0,47.1,3855.0,5.9,41665.0,12.835154005200652
05978,Unna,396283.0,53976.0,247827.0,94480.0,47.7,5495.0,7.3,41405.0,13.86635308605214
06411,Darmstadt,164832.0,22027.0,114270.0,28535.0,38.1,1369.0,6.0,56785.0,8.305426130848378
06412,Frankfurt am Main,749596.0,106586.0,523877.0,119133.0,39.7,6246.0,6.5,62576.0,8.332488433769658
06413,Offenbach am Main,131845.0,19891.0,90852.0,21102.0,40.0,1157.0,9.2,48103.0,8.775456027911563
06414,Wiesbaden,287241.0,41261.0,189304.0,56676.0,42.9,2967.0,8.3,53321.0,10.329305356825802
06415,Hanau,419055.0,60594.0,265233.0,93228.0,46.0,4874.0,8.8,,11.63093150063834
06431,BergstraÃe,274484.0,38689.0,171882.0,63913.0,47.4,3333.0,4.5,43827.0,12.14278427886507
06432,Darmstadt-Dieburg,302263.0,43866.0,192140.0,66257.0,46.2,3260.0,5.1,44403.0,10.785309482139725
06433,GroÃ-Gerau,267920.0,41362.0,174035.0,52523.0,43.6,2888.0,6.3,49568.0,10.779337115556883
06434,Hochtaunuskreis,240622.0,35278.0,149427.0,55917.0,47.7,2763.0,4.5,57004.0,11.4827405640382
06435,Main-Kinzig-Kreis,419055.0,60594.0,265233.0,93228.0,46.0,4874.0,4.6,45279.0,11.63093150063834
06436,Main-Taunus-Kreis,238593.0,35760.0,151689.0,51144.0,46.0,2437.0,5.3,58607.0,10.214046514357086
06437,Odenwaldkreis,94246.0,12562.0,57877.0,23807.0,49.3,1313.0,4.8,41420.0,13.931625745389725
06438,Offenbach,356578.0,52767.0,226643.0,77168.0,45.1,3823.0,5.1,50064.0,10.721356898069988
06439,Rheingau-Taunus-Kreis,186050.0,25107.0,115973.0,44970.0,48.9,2289.0,5.0,43232.0,12.303144316044074
06440,Wetteraukreis,310705.0,44461.0,197218.0,69026.0,46.5,3774.0,4.4,45580.0,12.14656989749119
06531,GieÃen,268141.0,36620.0,176487.0,55034.0,41.9,2996.0,5.9,44637.0,11.173226026605406
06532,Lahn-Dill-Kreis,254444.0,36154.0,159928.0,58362.0,46.8,3383.0,6.0,45697.0,13.29565641162692
06533,Limburg-Weilburg,174281.0,24159.0,110558.0,39564.0,46.9,2258.0,5.2,43827.0,12.956088156482922
06534,Marburg-Biedenkopf,243093.0,32463.0,159947.0,50683.0,43.5,2771.0,4.6,44823.0,11.398929627755633
