station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status
ES1602A,development_cv,ES,,42.46389,-2.42778,fold1_iberia,10.716965587529645,364,366,10.716965585577029,17.18490916724581,-35,True,False,1.9526158467897403e-09,computed
ES1616A,development_cv,ES,,39.84917,-5.93972,fold1_iberia,6.721333388447889,75,360,6.721333333333334,10.737795298903993,254,False,True,5.511455558604439e-08,computed
ES1619A,development_cv,ES,,39.47806,-0.36833,fold1_iberia,12.210210251179037,333,354,12.21021021021021,23.54237288135593,-4,True,False,4.09688265534669e-08,computed
ES1631A,development_cv,ES,,41.64556,-4.73028,fold1_iberia,9.299984435567517,364,364,9.299984414762529,18.3247712820306,-35,True,False,2.0804987954647913e-08,computed
ES1632A,development_cv,ES,,41.62056,-4.74667,fold1_iberia,7.105269025326786,361,361,7.1052689582287325,19.06379056930063,-32,True,False,6.709805333571239e-08,computed
ES1636A,development_cv,ES,,41.65611,-4.73389,fold1_iberia,9.098077960515557,364,361,9.098077918458353,17.122440684090087,-35,True,False,4.205720394168111e-08,computed
ES1641A,development_cv,ES,,41.63528,-0.89361,fold1_iberia,10.23529411524026,238,355,10.235294117647058,21.024323030487885,91,False,True,2.406798316201275e-09,computed
ES1642A,development_cv,ES,,41.936185,2.2393,fold1_iberia,9.948967726220504,310,365,9.948967741935483,19.058451929015156,19,False,True,1.5714979539893648e-08,computed
ES1649A,development_cv,ES,,42.17583,-1.74333,fold1_iberia,7.322373267537539,361,361,7.322373213388509,21.746831065812156,-32,True,False,5.414902926048626e-08,computed
ES1654A,development_cv,ES,,37.99435,-5.66687,fold1_iberia,5.325514606177968,354,347,5.325514564337802,16.62669654301465,-25,True,False,4.184016599850793e-08,computed
ES1670A,development_cv,ES,,39.55861,-1.28139,fold1_iberia,4.788252238835744,350,351,4.788252191036597,7.853196197735615,-21,True,False,4.779914686281472e-08,computed
ES1671A,development_cv,ES,,39.70806,-0.83194,fold1_iberia,4.367222355996292,366,366,4.367222474996934,9.455472873166162,-37,True,False,1.1900064222913898e-07,computed
ES1673A,development_cv,ES,,42.84361,-2.66139,fold1_iberia,9.344019121391998,361,365,9.344019108570919,13.728380459336698,-32,True,False,1.2821079309333072e-08,computed
ES1684A,development_cv,ES,,41.49333,2.04361,fold1_iberia,9.265213356900093,328,366,9.265213414634145,17.244970042604344,1,False,True,5.773405220566019e-08,computed
ES1685A,development_cv,ES,,40.05194,-0.18972,fold1_iberia,6.271420015576102,351,351,6.271420016862902,20.84915549213418,-22,True,False,1.286799999888899e-09,computed
ES1687A,development_cv,ES,,40.06222,0.07278,fold1_iberia,3.9615454319617394,344,344,3.9615454633121394,5.759375184939667,-15,True,False,3.1350400053753447e-08,computed
