station_code,split,country,land,lat,lon,fold,saved_pm25_target,valid_pm25_days,valid_pm10_days,annual_pm25,annual_pm10,pm25_day_deficit_vs_threshold,passes_pm25_90pct,pm10_or_only_case,annual_pm25_abs_diff,audit_status,pm25_valid_day_bin
IT2300A,development_cv,IT,,45.53861,10.23194,fold3_italy,17.770007772825576,316,336,17.770007848101265,27.125057738095236,13,False,True,7.527568968157539e-08,computed,182-328
TR0106A,development_cv,TR,,40.97645,27.51273,fold7_balkan_s,25.78852277485278,316,366,25.78852332897832,42.310761065839465,13,False,True,5.541255418961555e-07,computed,182-328
FR26017,development_cv,FR,,46.99683,3.17109,fold2_france,5.71319149603155,318,366,5.71319153046829,10.699999874007357,11,False,True,3.44367396820644e-08,computed,182-328
IT1743A,development_cv,IT,,45.58111,9.274445,fold3_italy,24.30817690099661,318,335,24.30817610062893,30.484776119402984,11,False,True,8.00367679687497e-07,computed,182-328
ES1148A,development_cv,ES,,41.43333,2.22,fold1_iberia,10.665358257363602,321,341,10.665358255451713,23.736795628608224,8,False,True,1.9118893135328108e-09,computed,182-328
TR343241,development_cv,TR,,41.00382,29.02691,fold7_balkan_s,20.66514269493097,322,365,20.66514245972861,34.176071036798554,7,False,True,2.352023606988496e-07,computed,182-328
BG0020A,development_cv,BG,,43.0742,25.60488,fold6_balkan_e,14.27585150767539,323,358,14.275851393188855,24.915642458100557,6,False,True,1.1448653403078879e-07,computed,182-328
IT2134A,development_cv,IT,,42.5342,12.5219,fold3_italy,14.38271588738323,324,333,14.382716049382717,24.465465465465467,5,False,True,1.6199948760231564e-07,computed,182-328
PT04001,development_cv,PT,,37.96042,-8.835695000000001,fold1_iberia,4.359435243407346,324,366,4.359435357017885,15.30058279271216,5,False,True,1.1361053875447169e-07,computed,182-328
CZ0HJIC,development_cv,CZ,,50.4395,15.35264,fold8_poland,11.183076935849106,325,358,11.183076923076923,16.416201117318437,4,False,True,1.2772183310971741e-08,computed,182-328
IT1294A,development_cv,IT,,45.52583,8.73667,fold3_italy,14.893328645041615,325,334,14.893328830769232,21.6937125748503,4,False,True,1.857276163974575e-07,computed,182-328
IT2056A,development_cv,IT,,39.23583,9.115,fold3_italy,13.134877560665489,325,353,13.134877415384615,28.423228895184135,4,False,True,1.452808735535882e-07,computed,182-328
MK0040A,development_cv,MK,,41.70583,21.76529,fold7_balkan_s,19.908865599011936,325,332,19.90886550810611,42.28577725735952,4,False,True,9.090582508974876e-08,computed,182-328
ES0559A,development_cv,ES,,41.38917,2.16528,fold1_iberia,15.405521531144366,326,338,15.405521472392637,23.85414201183432,3,False,True,5.8751728815309434e-08,computed,182-328
NL00247,development_cv,NL,,51.40737,5.39333,fold2_france,9.803150668377844,326,365,9.803150647039379,17.212751570222792,3,False,True,2.1338465217013436e-08,computed,182-328
ES1559A,development_cv,ES,,41.96028,3.03917,fold1_iberia,9.90902139374749,327,338,9.90902140672783,19.19940828402367,2,False,True,1.2980338581769502e-08,computed,182-328
ES1684A,development_cv,ES,,41.49333,2.04361,fold1_iberia,9.265213356900093,328,366,9.265213414634145,17.244970042604344,1,False,True,5.773405220566019e-08,computed,182-328
ES2070A,development_cv,ES,,40.94667,-0.29083,fold1_iberia,7.176829346918053,328,330,7.176829268292683,10.742424242424242,1,False,True,7.862537021452454e-08,computed,182-328
IT2151A,development_cv,IT,,40.48967,18.04731,fold3_italy,10.881992168156694,328,361,10.881992237654556,20.172406106973973,1,False,True,6.949786168775063e-08,computed,182-328
DEHH079,held_out_test,DE,Hamburg,53.54527,9.94482,TEST,9.29186089361728,151,365,9.291860895339473,14.31829133123302,178,False,True,1.7221939430100974e-09,computed,0-181
DEHH081,held_out_test,DE,Hamburg,53.52916,9.9816,TEST,9.5262579772082,152,366,9.526257967980722,14.387346809971929,177,False,True,9.227477448803256e-09,computed,0-181
DENI028,held_out_test,DE,Niedersachsen,51.50758,10.23854,TEST,7.085997204925334,203,366,7.085997123670308,12.20167100514685,126,False,True,8.125502670708329e-08,computed,182-328
DENI029,held_out_test,DE,Niedersachsen,53.36235,7.20726,TEST,7.534974411755783,210,366,7.534974505119093,12.312289079281628,119,False,True,9.336330997200548e-08,computed,182-328
DENI063,held_out_test,DE,Niedersachsen,53.52418,9.68503,TEST,8.01939430292903,217,365,8.019394231973287,12.827045371551558,112,False,True,7.095574261484217e-08,computed,182-328
DENI062,held_out_test,DE,Niedersachsen,53.24696,10.4565,TEST,7.75424444996561,223,366,7.754244458444903,12.388975330715573,106,False,True,8.479293711616265e-09,computed,182-328
DENI052,held_out_test,DE,Niedersachsen,52.82943,9.62295,TEST,8.06913156121113,263,364,8.0691316630679,12.797700922360965,66,False,True,1.0185677012941596e-07,computed,182-328
DENI077,held_out_test,DE,Niedersachsen,51.70884,9.55462,TEST,6.248950293190141,288,366,6.248950402352267,10.613954942505835,41,False,True,1.0916212556111304e-07,computed,182-328
DENI059,held_out_test,DE,Niedersachsen,53.83017,8.80122,TEST,7.3346732988940095,293,364,7.334673345011843,10.583559558719351,36,False,True,4.6117833107928163e-08,computed,182-328
DEST029,held_out_test,DE,Sachsen-Anhalt,51.80353,11.73896,TEST,8.507383670423394,300,364,8.507383636930799,14.069201020764297,29,False,True,3.349259536378213e-08,computed,182-328
DENI157,held_out_test,DE,Niedersachsen,52.42789,10.79368,TEST,8.621834579173663,315,365,8.621834533891862,15.626390775281232,14,False,True,4.528180141960547e-08,computed,182-328
DENI020,held_out_test,DE,Niedersachsen,52.44081,10.81638,TEST,7.725613160957479,316,366,7.725613061118565,11.962666678810045,13,False,True,9.983891402498557e-08,computed,182-328
